"Title ID","Title","Annotation","Publisher","Copyright","OriginalCopyright","Translator","Author","Illustrator","Grade Level Span","Language","Genre","Classification","Culture","Topic","Discipline","Standard","Award"
"38509","¡Camara! Ciudad de Mexico: Monumentos de una nueva generacion (Picture Mexico City: Landmarks of a New Generation)","A photographic depiction of contemporary Mexico City is seen through the eyes of native youths. The collection features 75 black-and-white pictures taken by students from all walks of life. The scenes represent the range of extremes between poverty and wealth that exist in the city.","J. Paul Getty Museum and Children's Library Press","1997",,,"- Unknown",,"6 thru 8, 9 thru 12","Spanish/English","Nonfiction","Photo Essay","Latino/Latino American","English-Language Arts/General","English-Language Arts/General ",,
"16018","¡Es alucinante! Un libro que habla sobre ovulos, espermatazoides, nacimientos, bebes y familias (It's so Amazing! A Book About Eggs, Sperm, Birth, Babies, and Families)","Reproduction and birth questions are answered with clear, factual information in a nonjudgmental tone. In the illustrations, an enthusiastic bird and a reluctant bee narrate the comic cartoon panels and add humor, which accompanies the text perfectly. Topics include basic anatomy, conception, fetal development, birth, genetics, adoption, and love. This is a companion to IT'S PERFECTLY NORMAL (1994) and HAPPY BIRTH DAY! by this author and illustrator team.","Serres","1999",,,"Robie H. Harris","Michael  Emberley","6 thru 8","Spanish","Nonfiction",,,"Life Science (Biology)","Science","LS 7.1, LS 7.5",
"16016","¿Hay algo mas pequeno que una musarana? (What's Smaller than a Pygmy Shrew?)","This book shows how microscopes are used to see the tiniest parts of the universe which helps readers understand that the size of any object may be viewed in relation to things both smaller and larger. The acrylic-and-ink artwork includes touches of humor and shows proportions from elephants to atoms.","Editorial Juventud","1997",,,"Robert E. Wells","Robert E.  Wells","K thru 2, 3 thru 5, 6 thru 8","Spanish","Nonfiction","Picture Book",,"Earth Science, Physical Science (Chemistry and Physics), Measurement & Geometry (Geometry)","Mathematics, Science","PS K.1, LS K.2, I & E K.4, I & E 2.4, LS 3.3, PS 5.1, Math 1.MD.1-4, Math 2.MD.1-10, Math 3.MD.1-8, Math 4.MD.1-7, Math 5.MD.1-5",
"16351","101 Things You Don't Know About Science and No One Else Does Either","Originally titled THE EDGE OF THE UNIVERSE, this book is divided into eight sections covering the top ten problems in science, physical science, astronomy, cosmology, Earth and planetary sciences. biology, medicine, evolution, technology, and computers. Easy-to-read essays are indexed, stand alone, and can be read aloud to students.","Houghton Mifflin","1996",,,"James S. Trefil",,"6 thru 8, 9 thru 12","English","Essay","Read Aloud",,"Earth Science, Life Science (Biology), Physical Science (Chemistry and Physics)","Science","ES 6.1, I & E 6.7, LS 7.1, LS 7.2, LS 7.3, ES 7.4, I & E 7.7, I & E 8.9, Physics 9-12.1, ES 9-12.1, ES 9-12.2, ES 9-12.3, ES 9-12.4",
"39805","11 Birthdays","Amanda and Leo were born on the same day and were friends until their tenth birthday. A misunderstanding results in the two not speaking to each other. On their eleventh birthday, they plan to celebrate separately, but suddenly they have to relive the day over and over. This contemporary work of fiction focuses on friendship and has enough drama and surprises to keep middle-school readers turning the pages.","Scholastic","2010","2009",,"Wendy Mass",,"6 thru 8","English","Fiction",,,"English-Language Arts/General","English-Language Arts/General ",,
"142","1607: A New Look at Jamestown","Describes the new research and archaeological discoveries at Jamestown and demonstrates how existing knowledge and historians' views can change. Clearly written and well illustrated, the book shows how previous beliefs about the Jamestown settlement are erroneous. Provides an excellent account of the Native American tribes’ history, relationships before and after the arrival of the colonists, and the process of colonization, including the challenges. Color photographs show interpreters in period costume photographed at Jamestown.","National Geographic","2007",,,"Karen Lange","Ira Block","3 thru 5, 6 thru 8","English","Nonfiction","Photo Essay","Native American, Western European","American History, Diversity, Economics, Geography, Government and Politics","History/Social Science","HSS 5.3, HSS 5.4",
"1553","1621: A New Look at Thanksgiving","A well-researched book about Thanksgiving Day looks at the 1621 harvest feast from the perspectives of both the English colonists and the Wampanoag people. Photographs of Plimoth Plantation, a living history museum in Massachusetts, help the reader to visualize what life was like in 1621.","National Geographic","2001",,,"Catherine O'Neill Grace, Margaret M. Bruchac","Cotton Coulson, Sisse Brimberg","3 thru 5, 6 thru 8","English","Nonfiction","Photo Essay","Native American","American History, Diversity","History/Social Science","HSS 5.3, HSS 5.4",
"39109","19 Varieties of Gazelle: Poems of the Middle East","Features 60 new poems about the Middle East in response to the tragic events of September 11, 2001. The author draws on her Palestinian and American heritage to look at both the Middle East through the eyes of an American and the United States through the eyes of a Palestinian. The poems explore universal issues of hope, conflict, war, peace, people, and relations.","Greenwillow Books","2002",,,"Naomi Shihab Nye",,"3 thru 5, 6 thru 8, 9 thru 12","English","Poetry",,"Middle Eastern","English-Language Arts/General","English-Language Arts/Writing",,
"16868","1918 Influenza Pandemic, The","The author describes the 1918 influenza pandemic, from how World War I soldiers spread the disease to recent scientific efforts to understand the virus that took between twenty and forty million lives worldwide. Archival material, clearly reproduced paintings, photos, and micrographs bring a strong sense of reality to the events. Pair this title with LISTENING FOR LIONS, a fictionalized version of these events by Gloria Whelan.","Benchmark Books","2005",,,"Stephanie True Peters",,"3 thru 5, 6 thru 8","English","Narrative Nonfiction",,,"Life Science (Biology)","History/Social Science, Science","LS 7.5",
"2439","1950s: Music, The","In the 1950s, Matthew befriends an African American boy who introduces him to a new style of music, and together they start a rock-and-roll band. They struggle against their parents' objections and eventually develop their own sound, becoming notable in the world of rock-and-roll. Illustrated with black-and-white photographs. Introduces issues of the time.","Millbrook Press","2001",,,"Dorothy Hoobler, Tom Hoobler",,"6 thru 8, 9 thru 12","English","Fiction",,"Black/African American","Music","Visual and Performing Arts","VAPA M PreK-12.3",
