"Title ID","Title","Annotation","Publisher","Copyright","OriginalCopyright","Translator","Author","Illustrator","Grade Level Span","Language","Genre","Classification","Culture","Topic","Discipline","Standard","Award"
"39853","Poem Runs: Baseball Poems and Paintings","Fifteen upbeat poems use rhymes and images to capture a full season of baseball enthusiasm around the diamond. Position players and batters take the limelight on pages that feature mixed-media artwork, done with watercolors, pastels, and pine tar on a canvas of paper bags.","Harcourt Children’s Books","2012",,,"Douglas Florian","Douglas Florian","K thru 2, 3 thru 5","English","Poetry","Picture Book",,"English-Language Arts/General","English-Language Arts/General ",,
"37425","Poems for Children Nowhere Near Old Enough to Vote","This collection acquaints young readers with previously unpublished poetry by the Pulitzer Prize-winning poet. The poems feature everyday objects and parts of the body and are made accessible and stimulating through the comic pen-and-ink sketches that distort and shape the words into the objects being described.","Knopf","1999",,,"Carl Sandburg","Istvan  Banyai","3 thru 5","English","Poetry",,,"English-Language Arts/General","English-Language Arts/Writing",,
"41350","Poet: The Remarkable Story of George Moses Horton of Chapel Hill","Shares the story of George Moses Horton, who was born into slavery, taught himself to read, and earned money by selling his poems to the students of the University of North Carolina, before becoming the first published African American poet of the South. ","Peachtree","2015",,,"Don Tate","Don Tate","3 thru 5","English","Biography/Autobiography","Picture Book","Black/African American","American History, English-Language Arts/General","English-Language Arts/General ",,"Christopher Award"
"40960","Poetrees","Through serious and humorous poetic portrayals, unique species of trees and their traits become a living force. Hidden words, faces, and images reinforce each poem’s message. A page explaining the themes of each verse in more detail follows the creative imagery. Puns and other wordplay make this an engaging presentation of language for all ages.","Beach Lane Books","2010",,,"Douglas Florian","Douglas Florian","K thru 2, 3 thru 5","English","Poetry","Concept Book, Picture Book",,"Life Science (Biology)","English-Language Arts/Literary Elements, Science",,
"16834","Polar Bear Math: Learning About Fractions from Klondike and Snow","This book teaches about fractions by presenting charts and recipes for milk for two baby polar bears born in a zoo. The story of the cubs is told through photographs and narrative on the right-hand pages and the respective fractions elements on the left-hand pages.","Holt and Company Books","2004",,,"Ann Whitehead Nagda","Cindy  Bickel","K thru 2, 3 thru 5","English","Nonfiction","Picture Book, Read Aloud",,"Number Sense","English-Language Arts/Vocabulary, Mathematics","Math 3.NF.1-3, Math 4.NF.1-7, Math 5.NF.1-7",
"16634","Polar Bears","The polar bear is the biggest, most powerful terrestrial animal able to survive the hostile climate of the arctic. This selection provides information about how polar bears swim and hunt, how they keep warm and dry, and other ways they adapt to the climate and habitat of the arctic. The book also includes explanations of the polar bear's life cycle. This is a good selection for beginning report writers; it also works well as a nonfiction read-aloud for young children.","Holiday House","2001",,,"Gail Gibbons","Gail  Gibbons","K thru 2, 3 thru 5","English","Nonfiction","Picture Book, Read Aloud",,"Life Science (Biology)","Science","LS K.2, LS 1.2, LS 2.2, LS 3.3",
"16956","Poles Apart: Why Penguins and Polar Bears Will Never Be Neighbors","This engaging introduction to the earth's poles, both geographic and magnetic, covers a wide range of subjects as it describes their histories, geographic and physical features, fauna, human exploration, similarities and differences, and futures. Some of the scientific topics included are magnetism, animal and human migration, weather, global warming, fossils, continental drift, and plate tectonics. The text is accompanied by color and archival black-and-white photographs, other graphics, an index, an annotated bibliography of further readings for children, and a list of suggested Web sites to visit.","Viking Press","2004",,,"Elaine Scott",,"3 thru 5, 6 thru 8","English","Narrative Nonfiction",,,"Earth Science, Life Science (Biology), Physical Science (Chemistry and Physics)","History/Social Science, Science","LS 3.3, ES 3.4, PS 4.1, LS 4.2, LS 4.3, ES 4.5, PS 5.1, ES 5.3, ES 6.1, LS 6.5, LS 7.3, ES 7.4",
"16852","Pompeii: Lost and Found","The reader is taken back in time to the city of Pompeii just before Mt. Vesuvius erupted. The narrative then shifts to the archaeological activities of the scientists who have studied the event. A guessing game is woven through-out the book, and answers are provided at the end. Fresco paintings complement the historical setting and provide details of Roman life. End notes explain the illustrator’s artistic process.","Knopf","2006",,,"Mary Pope Osborne","Jan Christensen","K thru 2, 3 thru 5, 6 thru 8","English","Narrative Nonfiction","Picture Book, Read Aloud",,"Earth Science","History/Social Science, Visual and Performing Arts, Science","ES 2.3",
"16822","Pond","The plants and animals that flourish and change over the course of a year in and around the waters of a healthy pond are documented in this book. Detailed watercolor illustrations enhance the text, and small ink drawings present further information. Written by a noted nature artist, this title is useful for teaching pond ecology and discussing habitats.","Houghton Mifflin","2002",,,"Gordon Morrison",,"K thru 2, 3 thru 5","English","Narrative Nonfiction, Nonfiction","Picture Book",,"Earth Science, Life Science (Biology)","Science","LS 1.2, LS 4.3",
"15937","Pond Watching with Ann Morgan","The life and work of Ann Haven Morgan (1882-1966) included studying, teaching, and writing about the animals of ponds and streams with a focus on the importance of an ecological approach to conservation. Archival photographs highlight her education and work and are accompanied by full-color illustrations that illustrate pond dwellers.","Carolrhoda Books","2000",,,"Michael Elsohn Ross","Wendy  Smith","3 thru 5, 6 thru 8","English","Biography/Autobiography","Picture Book",,"Life Science (Biology)","Science","LS 4.3, LS 6.5",
