"Title ID","Title","Annotation","Publisher","Copyright","OriginalCopyright","Translator","Author","Illustrator","Grade Level Span","Language","Genre","Classification","Culture","Topic","Discipline","Standard","Award"
"38509","¡Camara! Ciudad de Mexico: Monumentos de una nueva generacion (Picture Mexico City: Landmarks of a New Generation)","A photographic depiction of contemporary Mexico City is seen through the eyes of native youths. The collection features 75 black-and-white pictures taken by students from all walks of life. The scenes represent the range of extremes between poverty and wealth that exist in the city.","J. Paul Getty Museum and Children's Library Press","1997",,,"- Unknown",,"6 thru 8, 9 thru 12","Spanish/English","Nonfiction","Photo Essay","Latino/Latino American","English-Language Arts/General","English-Language Arts/General ",,
"38520","¡Yo! (Yo!)","The sequel to HOW THE GARCIA GIRLS LOST THEIR ACCENTS, this story focuses on the most outspoken and mischievous of the four sisters, Yolanda. Yo, as they call her, is now a writer and draws on the characters and stories of her life as subject for her books, much to her family's dismay.","Penguin Books","1999",,"Dolores  Prida","Julia Alvarez",,"9 thru 12","Spanish","Fiction",,"Latino/Latino American","English-Language Arts/General","English-Language Arts/General ",,
"40717","¿De Dónde?","This play deals with the political and social conflicts faced by illegal immigrants and those living near the Texas–Mexico border. The play shows different viewpoints on the issue of illegal immigrants living in various Central American countries and offers alternative reasons (beside economic concerns) to explain why people come to the United States illegally. This book was published for an adult readership and thus contains mature content. Before handing the text to a child, educators and parents should read the book and know the child.","Dramatists Play Service, Inc.","1991","1991",,"Mary Gallagher",,"9 thru 12","English, Spanish","Drama",,"Latino/Latino American, Multicultural","English-Language Arts/General, Immigration/Migration, Theatre","Visual and Performing Arts, English-Language Arts/General , English-Language Arts/Literary Elements","VAPA T PreK-12.2",
"38904","100 Chinese Myths and Legends","This extensive selection of ancient Chinese myths and legends is derived from a variety of classic Chinese literature.","Hong Kong: Commercial Publishing","1995",,,"Wang Dao Ding",,"9 thru 12","Chinese","Legend, Mythology",,"Chinese/Chinese American","English-Language Arts/General, World Cultures: Perspectives, Practices, and Products","World Language, English-Language Arts/General ",,
"38905","100 Modern Chinese Literature","The respected literary works of Ling Ding, one of China's most important female authors, are featured in this collection written in simplified Chinese.","Huaxia","1997",,,"Ling Ding",,"9 thru 12","Chinese","Fiction",,"Chinese/Chinese American","English-Language Arts/General","English-Language Arts/General ",,
"16351","101 Things You Don't Know About Science and No One Else Does Either","Originally titled THE EDGE OF THE UNIVERSE, this book is divided into eight sections covering the top ten problems in science, physical science, astronomy, cosmology, Earth and planetary sciences. biology, medicine, evolution, technology, and computers. Easy-to-read essays are indexed, stand alone, and can be read aloud to students.","Houghton Mifflin","1996",,,"James S. Trefil",,"6 thru 8, 9 thru 12","English","Essay","Read Aloud",,"Earth Science, Life Science (Biology), Physical Science (Chemistry and Physics)","Science","ES 6.1, I & E 6.7, LS 7.1, LS 7.2, LS 7.3, ES 7.4, I & E 7.7, I & E 8.9, Physics 9-12.1, ES 9-12.1, ES 9-12.2, ES 9-12.3, ES 9-12.4",
"40322","11/22/63","Jake Epping, an English teacher in Maine, has the opportunity to go back in time to prevent President John F. Kennedy from being assassinated by Lee Harvey Oswald. Despite his effort not to change too much of the past, he soon learns that every action has a reaction. Excellent book for multiple interests, as author Stephen King blends historical fiction, science fiction, and political and social commentary. This book was published for an adult readership and thus contains mature content. Before handing the text to a child, educators and parents should read the book and know the child.","Scribner","2011","2011",,"Stephen King",,"9 thru 12","English","Historical Fiction, Science Fiction",,,"American History, English-Language Arts/General, Psychology/Sociology","History/Social Science, English-Language Arts/Literary Elements","HSS 11.1",
"1894","1491: New Revelations of the Americas Before Columbus","Presents an examination of the geographic, cultural, and human landscape of the Americas before the arrival of Columbus in 1492. Historical and archaeological perspectives offer a new view of pre-Columbian America. Includes bibliographical references and index. 
","Knopf","2005",,,"Charles Mann",,"9 thru 12","English","Narrative Nonfiction, Nonfiction",,"Multicultural, Native American","American History, Ethnic Studies, World Cultures: Perspectives, Practices, and Products","History/Social Science",,
"38524","16 cuentos latinoamericanos (16 Latin American Short Stories)","This anthology of short stories addresses the struggles and joy of coming of age and topics such as low self-confidence and sexual relationships. Several contemporary Latin American authors are featured, including Gabriel Garcia Marquez, Mario Benedetti, and Julio Cortazar.","Caracas: Ediciones Ekare","1992",,,"Julio Cortazar (and others)",,"9 thru 12","Spanish","Short Story",,"Latino/Latino American","English-Language Arts/General","English-Language Arts/General ",,
"1855","1776","Author David McCullough presents a comprehensive history of the American Revolution (based on both American and British historical documents), of George Washington, and of those who followed him. Diary excerpts and the correspondence of ordinary soldiers from both sides enrich the narrative and personalize the accounts. Includes bibliographical references and index.
","Simon & Schuster,  ","2006","2005",,"David McCullough",,"9 thru 12","English","Narrative Nonfiction, Nonfiction",,,"American History, War","History/Social Science","HSS 11.1",
